X,Y,group
0.67 ,6.55 ,bin 5
0.66 ,4.43 ,bin 5
0.66 ,3.02 ,bin 5
0.65 ,-1.57 ,bin 5
0.65 ,-2.63 ,bin 5
0.65 ,-3.70 ,bin 5
0.65 ,-3.70 ,bin 5
0.65 ,-6.17 ,bin 5
0.66 ,-8.98 ,bin 5
0.67 ,-10.03 ,bin 5
0.67 ,-11.09 ,bin 5
0.68 ,-12.49 ,bin 5
0.69 ,-12.84 ,bin 5
0.70 ,-12.83 ,bin 5
0.71 ,-12.82 ,bin 5
0.71 ,-12.46 ,bin 5
0.73 ,-11.04 ,bin 5
0.73 ,-10.68 ,bin 5
0.74 ,-9.27 ,bin 5
0.74 ,-4.67 ,bin 5
0.74 ,-3.26 ,bin 5
0.74 ,0.27 ,bin 5
0.74 ,2.03 ,bin 5
0.73 ,4.50 ,bin 5
0.72 ,4.84 ,bin 5
0.72 ,5.89 ,bin 5
0.71 ,9.42 ,bin 5
0.70 ,11.53 ,bin 5
0.69 ,10.11 ,bin 5
0.69 ,9.40 ,bin 5
0.68 ,7.98 ,bin 5
0.68 ,5.15 ,bin 5
0.67 ,3.03 ,bin 5
0.66 ,-0.86 ,bin 5
0.66 ,-4.39 ,bin 5
0.66 ,-5.45 ,bin 5
0.68 ,-8.96 ,bin 5
0.69 ,-10.01 ,bin 5
0.69 ,-10.01 ,bin 5
0.67 ,-7.20 ,bin 5
0.70 ,-9.30 ,bin 5
0.71 ,-8.58 ,bin 5
0.72 ,-7.16 ,bin 5
0.72 ,-6.81 ,bin 5
0.73 ,-6.10 ,bin 5
0.73 ,-2.56 ,bin 5
0.73 ,-0.80 ,bin 5
0.73 ,0.61 ,bin 5
0.72 ,1.31 ,bin 5
0.71 ,2.36 ,bin 5
0.70 ,3.06 ,bin 5
0.70 ,4.82 ,bin 5
0.70 ,6.59 ,bin 5
0.69 ,5.52 ,bin 5
0.68 ,1.63 ,bin 5
0.68 ,-0.50 ,bin 5
0.68 ,-1.91 ,bin 5
0.68 ,-3.67 ,bin 5
0.69 ,-5.07 ,bin 5
0.69 ,-6.48 ,bin 5
0.71 ,-5.75 ,bin 5
0.71 ,-5.76 ,bin 5
0.71 ,-2.93 ,bin 5
0.72 ,-1.16 ,bin 5
0.70 ,-0.47 ,bin 5
0.70 ,-2.59 ,bin 5
0.69 ,-0.84 ,bin 5
0.69 ,2.34 ,bin 5
0.70 ,-6.48 ,bin 5
0.74 ,-7.49 ,bin 5
0.75 ,-10.67 ,bin 5
0.75 ,-13.49 ,bin 5
0.74 ,3.80 ,bin 5
0.71 ,12.24 ,bin 5
0.72 ,10.84 ,bin 5
0.71 ,53.88 ,bin 11
0.72 ,48.95 ,bin 11
0.75 ,42.28 ,bin 11
0.75 ,36.98 ,bin 11
0.75 ,33.81 ,bin 11
0.74 ,21.09 ,bin 11
0.73 ,24.61 ,bin 11
0.73 ,27.79 ,bin 11
0.74 ,32.03 ,bin 11
0.74 ,38.03 ,bin 11
0.73 ,43.32 ,bin 11
0.72 ,44.36 ,bin 11
0.71 ,44.71 ,bin 11
0.72 ,21.42 ,bin 11
0.71 ,18.60 ,bin 11
0.69 ,18.22 ,bin 11
0.69 ,19.28 ,bin 11
0.68 ,21.74 ,bin 11
0.67 ,23.15 ,bin 11
0.69 ,30.58 ,bin 11
0.69 ,32.69 ,bin 11
0.66 ,29.49 ,bin 11
0.66 ,27.73 ,bin 11
0.67 ,25.97 ,bin 11
0.66 ,33.38 ,bin 11
0.66 ,25.96 ,bin 11
0.67 ,36.56 ,bin 11
0.66 ,36.55 ,bin 11
0.67 ,41.50 ,bin 11
0.66 ,39.02 ,bin 11
0.67 ,42.21 ,bin 11
0.68 ,43.98 ,bin 11
0.68 ,45.39 ,bin 11
0.68 ,48.22 ,bin 11
0.69 ,47.16 ,bin 11
0.69 ,48.23 ,bin 11
0.69 ,49.99 ,bin 11
0.71 ,48.94 ,bin 11
0.70 ,45.06 ,bin 11
0.68 ,42.92 ,bin 11
0.68 ,41.51 ,bin 11
0.68 ,37.62 ,bin 11
0.68 ,35.15 ,bin 11
0.68 ,28.45 ,bin 11
0.68 ,24.22 ,bin 11
0.69 ,22.46 ,bin 11
0.70 ,21.41 ,bin 11
0.71 ,23.18 ,bin 11
0.71 ,23.89 ,bin 11
0.72 ,28.49 ,bin 11
0.72 ,29.55 ,bin 11
0.72 ,30.61 ,bin 11
0.72 ,34.49 ,bin 11
0.72 ,36.60 ,bin 11
0.71 ,39.77 ,bin 11
0.71 ,40.12 ,bin 11
0.70 ,39.41 ,bin 11
0.70 ,37.99 ,bin 11
0.69 ,32.69 ,bin 11
0.71 ,28.83 ,bin 11
0.71 ,26.36 ,bin 11
0.70 ,25.64 ,bin 11
0.70 ,26.00 ,bin 11
0.70 ,27.41 ,bin 11
0.71 ,30.94 ,bin 11
0.71 ,33.06 ,bin 11
0.71 ,35.88 ,bin 11
0.69 ,36.23 ,bin 11
0.68 ,35.16 ,bin 11
0.67 ,29.86 ,bin 11
0.68 ,28.10 ,bin 11
0.68 ,27.04 ,bin 11
0.72 ,40.13 ,bin 11
0.70 ,42.24 ,bin 11
0.69 ,41.16 ,bin 11
0.69 ,39.40 ,bin 11
0.69 ,43.99 ,bin 11
0.75 ,27.80 ,bin 11
0.75 ,27.45 ,bin 11
0.75 ,29.57 ,bin 11
0.75 ,23.92 ,bin 11
0.72 ,45.08 ,bin 11
0.74 ,45.09 ,bin 11
0.74 ,41.91 ,bin 11
0.75 ,39.10 ,bin 11
0.75 ,33.10 ,bin 11
0.75 ,67.69 ,bin 13
0.73 ,62.38 ,bin 13
0.72 ,57.78 ,bin 13
0.72 ,55.31 ,bin 13
0.72 ,71.20 ,bin 13
0.74 ,66.97 ,bin 13
0.71 ,72.95 ,bin 13
0.70 ,74.35 ,bin 13
0.69 ,75.05 ,bin 13
0.67 ,71.86 ,bin 13
0.67 ,71.85 ,bin 13
0.66 ,71.49 ,bin 13
0.65 ,67.96 ,bin 13
0.66 ,65.84 ,bin 13
0.67 ,67.97 ,bin 13
0.67 ,69.38 ,bin 13
0.69 ,71.17 ,bin 13
0.68 ,70.80 ,bin 13
0.70 ,71.53 ,bin 13
0.72 ,70.13 ,bin 13
0.72 ,68.72 ,bin 13
0.72 ,66.25 ,bin 13
0.72 ,63.08 ,bin 13
0.72 ,59.90 ,bin 13
0.71 ,56.36 ,bin 13
0.71 ,55.65 ,bin 13
0.70 ,54.94 ,bin 13
0.69 ,55.28 ,bin 13
0.68 ,55.62 ,bin 13
0.66 ,55.97 ,bin 13
0.66 ,56.67 ,bin 13
0.68 ,63.39 ,bin 13
0.68 ,65.86 ,bin 13
0.68 ,66.21 ,bin 13
0.70 ,68.70 ,bin 13
0.71 ,69.06 ,bin 13
0.71 ,66.60 ,bin 13
0.71 ,62.72 ,bin 13
0.71 ,61.65 ,bin 13
0.71 ,60.95 ,bin 13
0.70 ,59.17 ,bin 13
0.69 ,58.81 ,bin 13
0.68 ,58.80 ,bin 13
0.67 ,59.50 ,bin 13
0.67 ,60.21 ,bin 13
0.69 ,63.75 ,bin 13
0.69 ,64.81 ,bin 13
0.70 ,65.88 ,bin 13
0.71 ,65.18 ,bin 13
0.70 ,62.00 ,bin 13
0.69 ,61.64 ,bin 13
0.69 ,60.58 ,bin 13
0.73 ,64.49 ,bin 13
0.73 ,59.55 ,bin 13
0.72 ,54.25 ,bin 13
0.71 ,52.12 ,bin 13
0.70 ,51.41 ,bin 13
0.69 ,52.11 ,bin 13
0.69 ,52.10 ,bin 13
0.68 ,52.10 ,bin 13
0.68 ,52.10 ,bin 13
0.67 ,52.80 ,bin 13
0.66 ,57.73 ,bin 13
0.66 ,62.67 ,bin 13
0.66 ,65.14 ,bin 13
0.66 ,58.08 ,bin 13
0.66 ,52.43 ,bin 13
0.65 ,55.60 ,bin 13
0.66 ,53.49 ,bin 13
0.66 ,51.73 ,bin 13
0.66 ,49.96 ,bin 13
0.68 ,49.27 ,bin 13
0.69 ,50.34 ,bin 13
0.66 ,47.49 ,bin 13
0.62 ,42.16 ,bin 13
0.68 ,46.80 ,bin 13
0.67 ,48.91 ,bin 13
0.70 ,49.29 ,bin 13
0.71 ,48.95 ,bin 13
0.72 ,51.78 ,bin 13
0.65 ,60.54 ,bin 13
0.67 ,64.44 ,bin 13
0.62 ,42.87 ,bin 19
0.64 ,17.48 ,bin 19
0.65 ,7.95 ,bin 19
0.76 ,23.23 ,bin 19
0.77 ,19.70 ,bin 19
0.78 ,4.89 ,bin 19
0.75 ,4.87 ,bin 19
0.75 ,15.10 ,bin 19
0.75 ,10.51 ,bin 19
0.75 ,8.39 ,bin 19
0.74 ,10.15 ,bin 19
0.74 ,13.68 ,bin 19
0.64 ,17.47 ,bin 19
0.65 ,16.78 ,bin 19
0.66 ,13.25 ,bin 19
0.66 ,10.78 ,bin 19
0.66 ,19.61 ,bin 19
0.65 ,31.25 ,bin 19
0.65 ,25.60 ,bin 19
0.65 ,24.89 ,bin 19
0.66 ,30.55 ,bin 19
0.68 ,33.39 ,bin 19
0.70 ,34.12 ,bin 19
0.70 ,31.29 ,bin 19
0.69 ,29.52 ,bin 19
0.68 ,24.57 ,bin 19
0.67 ,12.91 ,bin 19
0.66 ,5.49 ,bin 19
0.66 ,1.61 ,bin 19
0.66 ,-0.16 ,bin 19
0.65 ,7.25 ,bin 19
0.68 ,12.56 ,bin 19
0.69 ,20.70 ,bin 19
0.69 ,27.05 ,bin 19
0.69 ,27.40 ,bin 19
0.72 ,28.49 ,bin 19
0.75 ,29.92 ,bin 19
0.74 ,27.45 ,bin 19
0.73 ,33.08 ,bin 19
0.71 ,33.06 ,bin 19
0.71 ,24.94 ,bin 19
0.71 ,24.24 ,bin 19
0.71 ,28.48 ,bin 19
0.68 ,22.81 ,bin 19
0.67 ,26.32 ,bin 19
0.66 ,20.67 ,bin 19
0.69 ,13.99 ,bin 19
0.68 ,11.16 ,bin 19
0.68 ,2.33 ,bin 19
0.67 ,1.62 ,bin 19
0.69 ,3.04 ,bin 19
0.74 ,8.03 ,bin 19
0.74 ,9.44 ,bin 19
0.75 ,-4.66 ,bin 19
0.75 ,-4.31 ,bin 19
0.73 ,-8.92 ,bin 19
0.72 ,-4.34 ,bin 19
0.73 ,1.31 ,bin 19
0.77 ,4.18 ,bin 19
0.76 ,3.11 ,bin 19
0.75 ,9.10 ,bin 19
0.73 ,16.85 ,bin 19
0.73 ,18.97 ,bin 19
0.74 ,21.45 ,bin 19
0.75 ,20.75 ,bin 19
0.75 ,18.63 ,bin 19
0.74 ,24.97 ,bin 19
0.73 ,28.49 ,bin 19
0.72 ,21.07 ,bin 19
0.70 ,18.23 ,bin 19
0.69 ,15.76 ,bin 19
0.70 ,16.47 ,bin 19
0.68 ,17.86 ,bin 19
0.68 ,16.80 ,bin 19
0.68 ,22.81 ,bin 19
0.68 ,15.74 ,bin 19
0.67 ,11.50 ,bin 19
0.67 ,8.33 ,bin 19
0.69 ,6.93 ,bin 19
0.71 ,12.24 ,bin 19
0.72 ,20.01 ,bin 19
0.70 ,12.59 ,bin 19
0.70 ,9.41 ,bin 19
0.70 ,7.65 ,bin 19
0.72 ,12.60 ,bin 19
0.71 ,22.12 ,bin 19
0.71 ,16.83 ,bin 19
0.71 ,16.13 ,bin 19
0.71 ,18.59 ,bin 19
0.73 ,8.03 ,bin 19
0.73 ,7.31 ,bin 19
0.72 ,8.37 ,bin 19
0.72 ,11.90 ,bin 19
0.70 ,2.35 ,bin 19
0.69 ,-0.49 ,bin 19
0.68 ,-1.19 ,bin 19
0.70 ,3.06 ,bin 19
0.72 ,5.55 ,bin 19
0.71 ,3.07 ,bin 19
0.71 ,7.65 ,bin 19
0.72 ,-1.52 ,bin 19
0.70 ,-2.95 ,bin 19
0.71 ,1.30 ,bin 19
0.74 ,2.74 ,bin 19
0.74 ,4.15 ,bin 19
0.73 ,0.26 ,bin 19
0.72 ,0.60 ,bin 19
0.74 ,4.50 ,bin 19
0.74 ,-1.50 ,bin 19
0.74 ,-1.85 ,bin 19
0.72 ,-0.45 ,bin 19
0.71 ,11.54 ,bin 19
0.68 ,11.15 ,bin 19
0.67 ,5.85 ,bin 19
0.68 ,5.86 ,bin 19
0.69 ,7.98 ,bin 19
0.68 ,7.28 ,bin 19
0.72 ,-2.92 ,bin 19
0.74 ,4.15 ,bin 19
0.73 ,5.55 ,bin 19
0.72 ,14.02 ,bin 19
0.69 ,13.28 ,bin 19
0.68 ,11.86 ,bin 19
0.66 ,6.55 ,bin 19
0.66 ,16.08 ,bin 19
0.66 ,17.14 ,bin 19
0.69 ,27.40 ,bin 19
0.69 ,28.11 ,bin 19
0.71 ,26.36 ,bin 19
0.69 ,21.75 ,bin 19
0.70 ,23.52 ,bin 19
0.70 ,24.23 ,bin 19
0.73 ,25.67 ,bin 19
0.73 ,22.49 ,bin 19
0.73 ,24.61 ,bin 19
0.72 ,21.78 ,bin 19
0.73 ,14.02 ,bin 19
0.72 ,9.07 ,bin 19
0.71 ,6.59 ,bin 19
0.70 ,6.23 ,bin 19
0.72 ,3.08 ,bin 19
0.74 ,1.68 ,bin 19
0.74 ,0.98 ,bin 19
0.67 ,9.39 ,bin 19
0.67 ,16.44 ,bin 19
0.68 ,20.68 ,bin 19
0.69 ,19.99 ,bin 19
0.69 ,17.87 ,bin 19
0.69 ,10.11 ,bin 19
0.73 ,2.38 ,bin 19
0.65 ,142.78 ,other bins
0.66 ,146.31 ,other bins
0.67 ,147.74 ,other bins
0.70 ,148.82 ,other bins
0.71 ,147.42 ,other bins
0.72 ,145.31 ,other bins
0.73 ,141.79 ,other bins
0.75 ,136.51 ,other bins
0.74 ,128.74 ,other bins
0.72 ,125.90 ,other bins
0.70 ,120.23 ,other bins
0.68 ,122.69 ,other bins
0.66 ,127.96 ,other bins
0.64 ,130.06 ,other bins
0.63 ,132.17 ,other bins
0.65 ,135.71 ,other bins
0.65 ,142.07 ,other bins
0.66 ,140.67 ,other bins
0.66 ,135.37 ,other bins
0.65 ,132.54 ,other bins
0.65 ,131.49 ,other bins
0.66 ,131.84 ,other bins
0.65 ,133.60 ,other bins
0.65 ,131.83 ,other bins
0.65 ,129.01 ,other bins
0.67 ,130.44 ,other bins
0.67 ,129.74 ,other bins
0.67 ,129.39 ,other bins
0.68 ,128.69 ,other bins
0.68 ,128.34 ,other bins
0.70 ,126.59 ,other bins
0.71 ,125.88 ,other bins
0.70 ,124.82 ,other bins
0.70 ,124.82 ,other bins
0.70 ,125.17 ,other bins
0.69 ,126.58 ,other bins
0.69 ,128.34 ,other bins
0.69 ,130.10 ,other bins
0.68 ,131.16 ,other bins
0.67 ,132.56 ,other bins
0.67 ,133.62 ,other bins
0.67 ,135.38 ,other bins
0.67 ,137.85 ,other bins
0.67 ,140.32 ,other bins
0.67 ,142.44 ,other bins
0.67 ,145.27 ,other bins
0.68 ,145.98 ,other bins
0.69 ,145.98 ,other bins
0.70 ,144.58 ,other bins
0.71 ,142.83 ,other bins
0.72 ,140.37 ,other bins
0.73 ,136.84 ,other bins
0.73 ,134.38 ,other bins
0.73 ,131.55 ,other bins
0.72 ,129.08 ,other bins
0.71 ,129.06 ,other bins
0.69 ,130.82 ,other bins
0.69 ,134.34 ,other bins
0.68 ,136.10 ,other bins
0.68 ,137.86 ,other bins
0.68 ,140.34 ,other bins
0.69 ,141.05 ,other bins
0.70 ,140.00 ,other bins
0.72 ,138.25 ,other bins
0.72 ,136.48 ,other bins
0.71 ,131.89 ,other bins
0.70 ,131.88 ,other bins
0.69 ,134.35 ,other bins
0.70 ,135.76 ,other bins
0.70 ,135.77 ,other bins
0.70 ,138.58 ,other bins
0.68 ,140.68 ,other bins
0.67 ,141.39 ,other bins
0.67 ,132.91 ,other bins
0.68 ,135.39 ,other bins
0.71 ,137.18 ,other bins
0.72 ,132.25 ,other bins
0.73 ,132.61 ,other bins
0.74 ,137.56 ,other bins
0.73 ,141.79 ,other bins
0.68 ,143.86 ,other bins
0.67 ,141.74 ,other bins
0.65 ,102.54 ,other bins
0.62 ,89.10 ,other bins
0.62 ,93.34 ,other bins
0.63 ,93.00 ,other bins
0.64 ,93.35 ,other bins
0.65 ,94.77 ,other bins
0.65 ,95.48 ,other bins
0.66 ,96.90 ,other bins
0.66 ,97.26 ,other bins
0.67 ,99.39 ,other bins
0.67 ,99.03 ,other bins
0.68 ,95.51 ,other bins
0.68 ,95.51 ,other bins
0.66 ,90.55 ,other bins
0.65 ,85.96 ,other bins
0.65 ,85.25 ,other bins
0.65 ,85.60 ,other bins
0.65 ,92.66 ,other bins
0.67 ,95.85 ,other bins
0.66 ,91.96 ,other bins
0.63 ,87.00 ,other bins
0.64 ,90.53 ,other bins
0.65 ,90.18 ,other bins
0.65 ,89.13 ,other bins
0.66 ,88.43 ,other bins
0.68 ,88.10 ,other bins
0.68 ,88.10 ,other bins
0.68 ,84.57 ,other bins
0.68 ,82.10 ,other bins
0.70 ,87.05 ,other bins
0.70 ,88.11 ,other bins
0.70 ,88.82 ,other bins
0.70 ,90.24 ,other bins
0.71 ,91.65 ,other bins
0.74 ,90.97 ,other bins
0.74 ,94.15 ,other bins
0.74 ,95.21 ,other bins
0.75 ,92.04 ,other bins
0.75 ,92.75 ,other bins
0.76 ,90.63 ,other bins
0.76 ,90.99 ,other bins
0.77 ,91.00 ,other bins
0.77 ,89.24 ,other bins
0.78 ,86.77 ,other bins
0.78 ,83.60 ,other bins
0.79 ,80.43 ,other bins
0.79 ,78.66 ,other bins
0.79 ,76.20 ,other bins
0.80 ,72.32 ,other bins
0.80 ,69.85 ,other bins
0.79 ,67.02 ,other bins
0.80 ,64.55 ,other bins
0.80 ,62.79 ,other bins
0.80 ,61.02 ,other bins
0.80 ,58.90 ,other bins
0.79 ,57.13 ,other bins
0.79 ,55.02 ,other bins
0.79 ,53.26 ,other bins
0.79 ,49.72 ,other bins
0.78 ,48.66 ,other bins
0.79 ,43.72 ,other bins
0.77 ,40.88 ,other bins
0.77 ,36.29 ,other bins
0.78 ,34.53 ,other bins
0.78 ,34.89 ,other bins
0.78 ,33.83 ,other bins
0.78 ,45.83 ,other bins
0.78 ,38.07 ,other bins
0.78 ,30.66 ,other bins
0.78 ,30.30 ,other bins
0.79 ,27.14 ,other bins
0.79 ,23.96 ,other bins
0.79 ,22.19 ,other bins
0.78 ,21.13 ,other bins
0.78 ,19.01 ,other bins
0.79 ,17.25 ,other bins
0.79 ,14.78 ,other bins
0.79 ,13.37 ,other bins
0.78 ,11.95 ,other bins
0.79 ,11.25 ,other bins
0.80 ,10.55 ,other bins
0.79 ,1.72 ,other bins
0.79 ,-1.10 ,other bins
0.80 ,-4.97 ,other bins
0.80 ,-6.03 ,other bins
0.79 ,-7.81 ,other bins
0.79 ,-12.75 ,other bins
0.78 ,-16.64 ,other bins
0.78 ,-16.99 ,other bins
0.78 ,-14.88 ,other bins
0.77 ,-7.47 ,other bins
0.78 ,-1.82 ,other bins
0.78 ,0.30 ,other bins
0.78 ,-6.76 ,other bins
0.78 ,-2.87 ,other bins
0.75 ,-15.96 ,other bins
0.75 ,-16.66 ,other bins
0.72 ,-17.75 ,other bins
0.72 ,-18.11 ,other bins
0.69 ,-18.13 ,other bins
0.67 ,-19.20 ,other bins
0.66 ,-21.33 ,other bins
0.65 ,-20.63 ,other bins
0.64 ,-18.17 ,other bins
0.63 ,-19.59 ,other bins
0.68 ,-18.84 ,other bins
0.65 ,-18.87 ,other bins
0.60 ,-18.91 ,other bins
0.60 ,-19.62 ,other bins
0.58 ,-19.63 ,other bins
0.56 ,-18.95 ,other bins
0.54 ,-18.26 ,other bins
0.53 ,-18.27 ,other bins
0.50 ,-18.30 ,other bins
0.47 ,-17.62 ,other bins
0.46 ,-17.27 ,other bins
0.46 ,-15.86 ,other bins
0.45 ,-10.23 ,other bins
0.44 ,-8.82 ,other bins
0.44 ,-8.47 ,other bins
0.44 ,-3.88 ,other bins
0.45 ,-3.16 ,other bins
0.46 ,-3.16 ,other bins
0.47 ,-1.03 ,other bins
0.46 ,1.78 ,other bins
0.45 ,4.96 ,other bins
0.49 ,1.81 ,other bins
0.49 ,2.16 ,other bins
0.50 ,6.76 ,other bins
0.49 ,11.34 ,other bins
0.48 ,13.80 ,other bins
0.50 ,18.41 ,other bins
0.51 ,14.54 ,other bins
0.51 ,25.13 ,other bins
0.50 ,33.94 ,other bins
0.52 ,35.36 ,other bins
0.54 ,37.50 ,other bins
0.56 ,42.46 ,other bins
0.55 ,43.51 ,other bins
0.55 ,43.86 ,other bins
0.54 ,43.50 ,other bins
0.56 ,49.87 ,other bins
0.55 ,51.28 ,other bins
0.55 ,48.45 ,other bins
0.56 ,51.99 ,other bins
0.52 ,37.49 ,other bins
0.50 ,36.41 ,other bins
0.52 ,35.72 ,other bins
0.53 ,34.32 ,other bins
0.53 ,31.85 ,other bins
0.54 ,29.73 ,other bins
0.54 ,23.03 ,other bins
0.56 ,22.69 ,other bins
0.53 ,17.73 ,other bins
0.53 ,16.67 ,other bins
0.56 ,37.52 ,other bins
0.56 ,37.16 ,other bins
0.56 ,35.05 ,other bins
0.56 ,41.40 ,other bins
0.56 ,47.05 ,other bins
0.57 ,52.35 ,other bins
0.58 ,55.53 ,other bins
0.58 ,56.24 ,other bins
0.57 ,60.12 ,other bins
0.58 ,59.77 ,other bins
0.59 ,55.55 ,other bins
0.60 ,57.32 ,other bins
0.60 ,61.91 ,other bins
0.60 ,63.67 ,other bins
0.61 ,67.21 ,other bins
0.61 ,70.39 ,other bins
0.61 ,72.15 ,other bins
0.64 ,76.07 ,other bins
0.64 ,75.36 ,other bins
0.64 ,69.01 ,other bins
0.65 ,75.37 ,other bins
0.66 ,76.08 ,other bins
0.67 ,75.38 ,other bins
0.68 ,77.15 ,other bins
0.68 ,81.75 ,other bins
0.71 ,87.77 ,other bins
0.71 ,88.48 ,other bins
0.74 ,88.15 ,other bins
0.74 ,88.15 ,other bins
0.73 ,89.20 ,other bins
0.73 ,90.26 ,other bins
0.73 ,90.96 ,other bins
0.72 ,85.66 ,other bins
0.75 ,85.69 ,other bins
0.75 ,87.45 ,other bins
0.76 ,88.17 ,other bins
0.77 ,83.94 ,other bins
0.77 ,79.71 ,other bins
0.77 ,68.77 ,other bins
0.77 ,60.30 ,other bins
0.76 ,50.40 ,other bins
0.76 ,49.34 ,other bins
